marine_site_name,cbs_site_code,latitude,longitude,georegion,bioregion,mpa_designation,mpa_name,nms_name,asbs_name,island,state_province,survey_rep,year,species_lump,total_count,number_of_transects_sampled,est_swath_area_searched_m2,density_per_m2
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,1,2015,Dermasterias imbricata,0,11,550,0
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,1,2015,Evasterias troschelii,0,11,550,0
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,1,2015,Heliaster kubiniji,0,11,550,0
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,1,2015,Henricia spp,12,11,550,0.021818182
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,1,2015,Linckia columbiae,0,11,550,0
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,1,2015,Patiria miniata,0,11,550,0
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,1,2015,Pisaster giganteus,0,11,550,0
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,1,2015,Pisaster ochraceus,0,11,550,0
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,1,2015,Pycnopodia helianthoides,0,11,550,0
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,2,2018,Dermasterias imbricata,0,11,551,0
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,2,2018,Evasterias troschelii,0,11,551,0
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,2,2018,Heliaster kubiniji,0,11,551,0
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,2,2018,Henricia spp,12,11,551,0.021778584
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,2,2018,Linckia columbiae,0,11,551,0
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,2,2018,Patiria miniata,5,11,551,0.00907441
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,2,2018,Pisaster giganteus,0,11,551,0
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,2,2018,Pisaster ochraceus,35,11,551,0.063520871
Abalobadiah Creek,6009,39.56906509,-123.77182,CA North,WA Olympic Coast to San Francisco,SMR,Ten Mile SMR,NONE,NONE,Mainland,California,2,2018,Pycnopodia helianthoides,0,11,551,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,1,2012,Dermasterias imbricata,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,1,2012,Evasterias troschelii,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,1,2012,Heliaster kubiniji,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,1,2012,Henricia spp,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,1,2012,Linckia columbiae,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,1,2012,Patiria miniata,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,1,2012,Pisaster giganteus,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,1,2012,Pisaster ochraceus,87,11,200.6,0.433698903
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,1,2012,Pycnopodia helianthoides,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,2,2014,Dermasterias imbricata,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,2,2014,Evasterias troschelii,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,2,2014,Heliaster kubiniji,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,2,2014,Henricia spp,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,2,2014,Linckia columbiae,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,2,2014,Patiria miniata,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,2,2014,Pisaster giganteus,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,2,2014,Pisaster ochraceus,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,2,2014,Pycnopodia helianthoides,0,11,200.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,3,2015,Dermasterias imbricata,0,11,233,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,3,2015,Evasterias troschelii,0,11,233,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,3,2015,Heliaster kubiniji,0,11,233,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,3,2015,Henricia spp,0,11,233,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,3,2015,Linckia columbiae,0,11,233,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,3,2015,Patiria miniata,0,11,233,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,3,2015,Pisaster giganteus,1,11,233,0.004291846
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,3,2015,Pisaster ochraceus,15,11,233,0.064377682
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,3,2015,Pycnopodia helianthoides,0,11,233,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,4,2015,Dermasterias imbricata,0,11,233.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,4,2015,Evasterias troschelii,0,11,233.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,4,2015,Heliaster kubiniji,0,11,233.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,4,2015,Henricia spp,0,11,233.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,4,2015,Linckia columbiae,0,11,233.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,4,2015,Patiria miniata,0,11,233.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,4,2015,Pisaster giganteus,0,11,233.6,0
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,4,2015,Pisaster ochraceus,11,11,233.6,0.047089041
Abalone Cove,89,33.73778152,-118.37612,CA South,Government Point to Mexico,SMCA,Abalone Cove SMCA,NONE,NONE,Mainland,California,4,2015,Pycnopodia helianthoides,0,11,233.6,0
Alcatraz,58,37.82500076,-122.42194,CA SF Bay,San Francisco Bay,NONE,NONE,NONE,NONE,Alcatraz,California,1,2005,Dermasterias imbricata,0,11,333,0
Alcatraz,58,37.82500076,-122.42194,CA SF Bay,San Francisco Bay,NONE,NONE,NONE,NONE,Alcatraz,California,1,2005,Evasterias troschelii,0,11,333,0
Alcatraz,58,37.82500076,-122.42194,CA SF Bay,San Francisco Bay,NONE,NONE,NONE,NONE,Alcatraz,California,1,2005,Heliaster kubiniji,0,11,333,0
Alcatraz,58,37.82500076,-122.42194,CA SF Bay,San Francisco Bay,NONE,NONE,NONE,NONE,Alcatraz,California,1,2005,Henricia spp,0,11,333,0
Alcatraz,58,37.82500076,-122.42194,CA SF Bay,San Francisco Bay,NONE,NONE,NONE,NONE,Alcatraz,California,1,2005,Linckia columbiae,0,11,333,0
Alcatraz,58,37.82500076,-122.42194,CA SF Bay,San Francisco Bay,NONE,NONE,NONE,NONE,Alcatraz,California,1,2005,Patiria miniata,0,11,333,0
Alcatraz,58,37.82500076,-122.42194,CA SF Bay,San Francisco Bay,NONE,NONE,NONE,NONE,Alcatraz,California,1,2005,Pisaster giganteus,0,11,333,0
Alcatraz,58,37.82500076,-122.42194,CA SF Bay,San Francisco Bay,NONE,NONE,NONE,NONE,Alcatraz,California,1,2005,Pisaster ochraceus,0,11,333,0
Alcatraz,58,37.82500076,-122.42194,CA SF Bay,San Francisco Bay,NONE,NONE,NONE,NONE,Alcatraz,California,1,2005,Pycnopodia helianthoides,0,11,333,0
Alder Creek; Duxbury,71,37.89757919,-122.71071,CA North,WA Olympic Coast to San Francisco,SMCA,Duxbury Reef SMCA,Greater Farallones NMS,Duxbury Reef Reserve and Extension ASBS,Mainland,California,1,2008,Dermasterias imbricata,0,11,1000,0
Alder Creek; Duxbury,71,37.89757919,-122.71071,CA North,WA Olympic Coast to San Francisco,SMCA,Duxbury Reef SMCA,Greater Farallones NMS,Duxbury Reef Reserve and Extension ASBS,Mainland,California,1,2008,Evasterias troschelii,0,11,1000,0
Alder Creek; Duxbury,71,37.89757919,-122.71071,CA North,WA Olympic Coast to San Francisco,SMCA,Duxbury Reef SMCA,Greater Farallones NMS,Duxbury Reef Reserve and Extension ASBS,Mainland,California,1,2008,Heliaster kubiniji,0,11,1000,0
Alder Creek; Duxbury,71,37.89757919,-122.71071,CA North,WA Olympic Coast to San Francisco,SMCA,Duxbury Reef SMCA,Greater Farallones NMS,Duxbury Reef Reserve and Extension ASBS,Mainland,California,1,2008,Henricia spp,0,11,1000,0
Alder Creek; Duxbury,71,37.89757919,-122.71071,CA North,WA Olympic Coast to San Francisco,SMCA,Duxbury Reef SMCA,Greater Farallones NMS,Duxbury Reef Reserve and Extension ASBS,Mainland,California,1,2008,Linckia columbiae,0,11,1000,0
Alder Creek; Duxbury,71,37.89757919,-122.71071,CA North,WA Olympic Coast to San Francisco,SMCA,Duxbury Reef SMCA,Greater Farallones NMS,Duxbury Reef Reserve and Extension ASBS,Mainland,California,1,2008,Patiria miniata,0,11,1000,0
Alder Creek; Duxbury,71,37.89757919,-122.71071,CA North,WA Olympic Coast to San Francisco,SMCA,Duxbury Reef SMCA,Greater Farallones NMS,Duxbury Reef Reserve and Extension ASBS,Mainland,California,1,2008,Pisaster giganteus,0,11,1000,0
Alder Creek; Duxbury,71,37.89757919,-122.71071,CA North,WA Olympic Coast to San Francisco,SMCA,Duxbury Reef SMCA,Greater Farallones NMS,Duxbury Reef Reserve and Extension ASBS,Mainland,California,1,2008,Pisaster ochraceus,10,11,1000,0.01
Alder Creek; Duxbury,71,37.89757919,-122.71071,CA North,WA Olympic Coast to San Francisco,SMCA,Duxbury Reef SMCA,Greater Farallones NMS,Duxbury Reef Reserve and Extension ASBS,Mainland,California,1,2008,Pycnopodia helianthoides,0,11,1000,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,1,2001,Dermasterias imbricata,0,11,817.32,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,1,2001,Evasterias troschelii,0,11,817.32,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,1,2001,Heliaster kubiniji,0,11,817.32,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,1,2001,Henricia spp,0,11,817.32,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,1,2001,Linckia columbiae,0,11,817.32,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,1,2001,Patiria miniata,0,11,817.32,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,1,2001,Pisaster giganteus,1,11,817.32,0.001223511
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,1,2001,Pisaster ochraceus,20,11,817.32,0.02447022
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,1,2001,Pycnopodia helianthoides,0,11,817.32,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,2,2003,Dermasterias imbricata,0,11,836.62,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,2,2003,Evasterias troschelii,0,11,836.62,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,2,2003,Heliaster kubiniji,0,11,836.62,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,2,2003,Henricia spp,0,11,836.62,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,2,2003,Linckia columbiae,0,11,836.62,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,2,2003,Patiria miniata,0,11,836.62,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,2,2003,Pisaster giganteus,0,11,836.62,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,2,2003,Pisaster ochraceus,58,11,836.62,0.069326576
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,2,2003,Pycnopodia helianthoides,0,11,836.62,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,3,2004,Dermasterias imbricata,0,11,829.3,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,3,2004,Evasterias troschelii,0,11,829.3,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,3,2004,Heliaster kubiniji,0,11,829.3,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,3,2004,Henricia spp,0,11,829.3,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,3,2004,Linckia columbiae,0,11,829.3,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,3,2004,Patiria miniata,0,11,829.3,0
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,3,2004,Pisaster giganteus,1,11,829.3,0.001205836
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,3,2004,Pisaster ochraceus,63,11,829.3,0.075967684
Alegria,38,34.4671402,-120.27738,CA South,Government Point to Mexico,NONE,NONE,NONE,NONE,Mainland,California,3,2004,Pycnopodia helianthoides,0,11,829.3,0
